artist,metascore,num_lyric_tracks,release_date,title,user_score,explicit_count,explicit_avg
Pharmakon,83,5,30-Aug-19,Devour,7.5,0,0.0
6ix9ine,38,13,27-Nov-18,DUMMY BOY,1.9,218,16.76923076923077
XXXTentacion,44,10,7-Dec-18,Skins,3.3,18,1.8
Sting,49,16,20-Apr-18,44/876,6.1,1,0.0625
Lil Xan,49,16,6-Apr-18,Total Xanarchy,2.7,286,17.875
Lil Yachty,50,17,9-Mar-18,Lil Boat 2,5.3,360,21.176470588235293
Post Malone,51,18,27-Apr-18,Beerbongs & Bentleys,6.3,113,6.277777777777778
Lil Yachty,52,15,19-Oct-18,Nuthin' 2 Prove,4.0,229,15.266666666666667
Greta Van Fleet,53,11,19-Oct-18,Anthem of the Peaceful Army,5.7,3,0.2727272727272727
Justin Timberlake,55,16,2-Feb-18,Man of the Woods,6.1,18,1.125
Derek Smalls,56,0,13-Apr-18,Smalls Change (Meditations Upon Ageing),tbd,0,0.0
Craig David,56,15,26-Jan-18,The Time Is Now,6.3,2,0.13333333333333333
Eric Clapton,57,16,12-Oct-18,Happy Xmas,tbd,0,0.0
Miles Kane,57,10,10-Aug-18,Coup de Grace,7.6,0,0.0
Dashboard Confessional,57,9,9-Feb-18,Crooked Shadows,6.2,5,0.5555555555555556
Disturbed,58,14,19-Oct-18,Evolution,6.1,13,0.9285714285714286
Nas,58,7,15-Jun-18,Nasir,7.8,28,4.0
Fall Out Boy,59,10,19-Jan-18,Mania,5.9,18,1.8
Richard Ashcroft,59,10,19-Oct-18,Natural Rebel,8.1,0,0.0
Imagine Dragons,59,12,9-Nov-18,Origins,6.1,0,0.0
The Kooks,59,15,31-Aug-18,Let's Go Sunshine,6.2,7,0.4666666666666667
Mumford & Sons,59,17,16-Nov-18,Delta,6.2,0,0.0
Animal Collective,60,13,17-Aug-18,Tangerine Reef,6.8,0,0.0
Stone Temple Pilots,60,12,16-Mar-18,Stone Temple Pilots [2018],7.7,0,0.0
Pale Waves,61,14,14-Sep-18,My Mind Makes Noises,6.3,3,0.21428571428571427
George Ezra,61,11,23-Mar-18,Staying at Tamara's,7.9,4,0.36363636363636365
Anne-Marie,62,18,27-Apr-18,Speak Your Mind,7.5,22,1.2222222222222223
Eminem,62,13,31-Aug-18,Kamikaze,8.2,189,14.538461538461538
Gengahr,62,0,9-Mar-18,Where Wilderness Grows,8.1,0,0.0
Tom Morello,63,12,12-Oct-18,The Atlas Underground,tbd,22,1.8333333333333333
Kate Nash,63,14,30-Mar-18,Yesterday Was Forever,7.3,16,1.1428571428571428
The Men,63,9,2-Mar-18,Drift,7.2,0,0.0
Nile Rodgers,63,10,28-Sep-18,It's About Time,7.5,4,0.4
Kylie Minogue,63,17,6-Apr-18,Golden,7.7,7,0.4117647058823529
Muse,63,21,9-Nov-18,Simulation Theory,6.8,0,0.0
Kanye West,64,7,1-Jun-18,Ye,7.1,59,8.428571428571429
Ministry,64,9,9-Mar-18,AmeriKKKant,5.9,6,0.6666666666666666
Snow Patrol,64,15,25-May-18,Wildness,7.7,34,2.2666666666666666
Smashing Pumpkins,65,8,16-Nov-18,"Shiny and Oh So Bright, Vol. 1: No Past. No Future. No Sun",6.5,0,0.0
We Are Scientists,65,10,27-Apr-18,Megaplex,tbd,1,0.1
Josh T. Pearson,65,10,13-Apr-18,The Straight Hits!,tbd,1,0.1
A Grave with No Name,65,0,19-Jan-18,Passover,tbd,0,0.0
Unknown Mortal Orchestra,66,7,26-Oct-18,IC-01 Hanoi,6.6,0,0.0
Still Corners,66,10,17-Aug-18,Slow Air,tbd,0,0.0
The Prodigy,66,10,2-Nov-18,No Tourists,6.8,5,0.5
Jungle,66,13,14-Sep-18,For Ever,7.8,2,0.15384615384615385
Jeff Goldblum,66,0,9-Nov-18,The Capitol Studios Sessions,tbd,0,0.0
Ty Segall,66,0,20-Jul-18,Joy,7.1,0,0.0
Lake Street Dive,66,10,4-May-18,Free Yourself Up,6.8,0,0.0
Tinashe,66,17,13-Apr-18,Joyride,7.9,24,1.411764705882353
Fischerspooner,67,13,16-Feb-18,Sir,7.5,12,0.9230769230769231
The Coral,67,11,10-Aug-18,Move Through the Dawn,tbd,0,0.0
Drake,67,25,29-Jun-18,Scorpion,3.9,170,6.8
Kyle Craft,67,10,2-Feb-18,Full Circle Nightmare,7.4,8,0.8
Chromeo,67,12,15-Jun-18,Head Over Heels,7.7,17,1.4166666666666667
Orbital,67,16,14-Sep-18,Monsters Exist,6.7,0,0.0
Shy Boys,67,10,3-Aug-18,Bell House,tbd,0,0.0
Jaakko Eino Kalevi,67,10,12-Oct-18,Out of Touch,tbd,0,0.0
Ray Davies,67,19,29-Jun-18,"Our Country: Americana, Act 2",tbd,0,0.0
A$AP Rocky,67,15,25-May-18,Testing,7.3,166,11.066666666666666
The Voidz,68,15,30-Mar-18,Virtue,8.2,3,0.2
Titus Andronicus,68,7,2-Mar-18,A Productive Cough,5.7,9,1.2857142857142858
MNEK,68,16,7-Sep-18,Language,8.1,7,0.4375
Art Brut,68,12,23-Nov-18,Wham! Bang! Pow! Let's Rock Out!,7.0,5,0.4166666666666667
Neil Finn,68,0,24-Aug-18,Lightsleeper,6.8,0,0.0
Dr. Dog,68,10,27-Apr-18,Critical Equation,6.3,0,0.0
Okkervil River,68,10,27-Apr-18,In the Rainbow Rain,7.1,1,0.1
S. Carey,68,10,23-Feb-18,Hundred Acres,7.1,0,0.0
Moaning,68,10,2-Mar-18,Moaning,7.2,0,0.0
A Place to Bury Strangers,68,20,13-Apr-18,Pinned,7.4,11,0.55
Dean Wareham,68,0,26-Oct-18,Dean Wareham vs. Cheval Sombre,tbd,0,0.0
Josh Rouse,68,9,13-Apr-18,Love in the Modern Age,tbd,0,0.0
Arthur Buck,68,11,15-Jun-18,Arthur Buck,tbd,0,0.0
A Perfect Circle,68,12,20-Apr-18,Eat the Elephant,7.3,5,0.4166666666666667
Bonny Doon,68,10,23-Mar-18,Longwave,tbd,0,0.0
Glen Hansard,68,10,19-Jan-18,Between Two Shores,7.3,0,0.0
Noname,93,11,14-Sep-18,Room 25,8.4,57,5.181818181818182
Rolo Tomassi,92,10,2-Mar-18,Time Will Die and Love Will Bury It,7.1,0,0.0
Architects,90,11,9-Nov-18,Holy Hell,8.9,9,0.8181818181818182
Robyn,89,9,26-Oct-18,Honey,8.5,7,0.7777777777777778
Yves Tumor,89,11,5-Sep-18,Safe In The Hands Of Love,7.9,13,1.1818181818181819
Christine and the Queens,89,11,21-Sep-18,Chris,7.9,12,1.0909090909090908
Kacey Musgraves,89,13,30-Mar-18,Golden Hour,8.6,1,0.07692307692307693
Rival Consoles,88,12,13-Apr-18,Persona,7.8,0,0.0
Jeff Rosenstock,88,11,23-Mar-18,POST-,7.8,5,0.45454545454545453
Idles,88,12,31-Aug-18,Joy As an Act of Resistance,8.2,17,1.4166666666666667
Behemoth,88,13,5-Oct-18,I Loved You at Your Darkest,8.0,5,0.38461538461538464
Marianne Faithfull,88,13,2-Nov-18,Negative Capability,8.0,3,0.23076923076923078
Janelle Monáe,87,0,27-Apr-18,Dirty Computer,8.6,0,0.0
Car Seat Headrest,87,10,16-Feb-18,Twin Fantasy,8.5,13,1.3
Hookworms,87,9,2-Feb-18,Microshift,7.8,0,0.0
Alela Diane,87,11,9-Feb-18,Cusp,8.0,0,0.0
Objekt,87,0,9-Nov-18,Cocoon Crush,7.2,0,0.0
Daughters,87,10,26-Oct-18,You Won't Get What You Want,8.6,10,1.0
Mitski,87,14,17-Aug-18,Be the Cowboy,8.3,0,0.0
Serpentwithfeet,87,11,8-Jun-18,Soil,7.9,2,0.18181818181818182
U.S. Girls,87,11,16-Feb-18,In a Poem Unlimited,8.3,5,0.45454545454545453
Young Fathers,87,13,9-Mar-18,Cocoa Sugar,8.7,14,1.0769230769230769
Amen Dunes,87,11,30-Mar-18,Freedom,8.2,0,0.0
Kali Uchis,87,15,6-Apr-18,Isolation,8.6,6,0.4
Bruce Springsteen,87,35,14-Dec-18,Springsteen on Broadway,7.8,42,1.2
SOPHIE,86,9,15-Jun-18,Oil Of Every Pearl's Un-Insides,8.3,0,0.0
Ashley Monroe,86,12,20-Apr-18,Sparrow,6.6,2,0.16666666666666666
Tracyanne & Danny,86,10,25-May-18,Tracyanne & Danny,7.3,1,0.1
Hot Snakes,86,10,16-Mar-18,Jericho Sirens,7.9,4,0.4
Angélique Kidjo,86,0,8-Jun-18,Remain In Light,8.0,0,0.0
Kamasi Washington,86,16,22-Jun-18,Heaven & Earth,8.0,0,0.0
Mélissa Laveaux,86,0,23-Mar-18,Radyo Siwèl,tbd,0,0.0
Low,86,11,14-Sep-18,Double Negative,8.0,5,0.45454545454545453
Amanda Shires,86,10,3-Aug-18,To the Sunset,7.4,0,0.0
Mount Eerie,86,12,21-Sep-18,(After) [Live],tbd,2,0.16666666666666666
Pusha T,86,7,25-May-18,DAYTONA,8.5,54,7.714285714285714
Jonny Greenwood,86,18,9-Feb-18,Phantom Thread [Original Motion Picture Soundtrack],8.0,0,0.0
Earl Sweatshirt,86,15,30-Nov-18,Some Rap Songs,8.4,49,3.2666666666666666
Screaming Females,86,15,23-Feb-18,All at Once,7.8,0,0.0
DJ Koze,85,16,4-May-18,Knock Knock,8.0,3,0.1875
Alva Noto,85,0,16-Feb-18,Glass,7.6,0,0.0
BROCKHAMPTON,85,15,21-Sep-18,Iridescence,7.9,112,7.466666666666667
Deafheaven,85,7,13-Jul-18,Ordinary Corrupt Human Love,8.0,0,0.0
Marie Davidson,85,10,5-Oct-18,Working Class Woman,7.8,7,0.7
Ezra Furman,85,13,9-Feb-18,Transangelic Exodus,8.0,7,0.5384615384615384
Bettye LaVette,85,0,30-Mar-18,Things Have Changed,7.3,0,0.0
Let's Eat Grandma,85,11,29-Jun-18,I'm All Ears,8.1,1,0.09090909090909091
Neko Case,85,12,1-Jun-18,Hell-On,7.7,0,0.0
Pistol Annies,85,14,2-Nov-18,Interstate Gospel,8.3,6,0.42857142857142855
Sarah Davachi,85,0,14-Sep-18,Gave in Rest,tbd,0,0.0
Laurie Anderson,85,30,16-Feb-18,Landfall,6.9,0,0.0
Virginia Wing,85,10,8-Jun-18,Ecstatic Arrow,7.8,0,0.0
Travis Scott,85,17,3-Aug-18,Astroworld,7.9,134,7.882352941176471
Troye Sivan,85,10,31-Aug-18,Bloom,8.1,5,0.5
Spiritualized,84,9,7-Sep-18,And Nothing Hurt,7.8,0,0.0
Jeff Tweedy,84,11,30-Nov-18,Warm,8.0,1,0.09090909090909091
No Age,84,12,26-Jan-18,Snares Like a Haircut,7.9,1,0.08333333333333333
Richard Swift,84,11,21-Sep-18,The Hex,6.7,0,0.0
Kids See Ghosts,84,7,8-Jun-18,Kids See Ghosts,8.6,13,1.8571428571428572
Lonnie Holley,84,10,21-Sep-18,MITH,tbd,0,0.0
Willie Nelson,84,11,27-Apr-18,Last Man Standing,7.7,18,1.6363636363636365
The Necks,84,0,17-Aug-18,Body,tbd,0,0.0
CupcakKe,84,15,5-Jan-18,Ephorize,8.6,342,22.8
Rolling Blackouts Coastal Fever,84,10,15-Jun-18,Hope Downs,8.0,0,0.0
Proc Fiskal,84,0,8-Jun-18,Insula,tbd,0,0.0
Cardi B,84,13,6-Apr-18,Invasion of Privacy,5.8,263,20.23076923076923
Jon Hopkins,84,12,4-May-18,Singularity,8.3,0,0.0
Sleep,84,6,20-Apr-18,The Sciences,7.8,0,0.0
Stephen Malkmus & the Jicks,84,11,18-May-18,Sparkle Hard,7.8,2,0.18181818181818182
The Breeders,84,11,2-Mar-18,All Nerve,7.3,0,0.0
Jon Hassell,84,0,8-Jun-18,Listening to Pictures (Pentimento Volume I),7.6,0,0.0
Miya Folick,84,10,26-Oct-18,Premonitions,7.7,3,0.3
Blood Orange,84,17,24-Aug-18,Negro Swan,8.2,20,1.1764705882352942
Eleanor Friedberger,84,10,4-May-18,Rebound,7.6,1,0.1
Chilly Gonzales,84,15,7-Sep-18,Solo Piano III,tbd,0,0.0
The Chainsmokers,43,12,7-Apr-17,Memories: Do Not Open,2.0,14,1.1666666666666667
Incubus,45,12,21-Apr-17,8,6.7,24,2.0
Linkin Park,46,10,19-May-17,One More Light,5.2,2,0.2
Imagine Dragons,47,11,23-Jun-17,Evolve,6.9,0,0.0
Faith Evans and the Notorious B.I.G.,48,25,19-May-17,The King & I,6.7,99,3.96
Eminem,50,19,15-Dec-17,Revival,6.3,135,7.105263157894737
Katy Perry,52,17,9-Jun-17,Witness,7.0,17,1.0
Prophets of Rage,54,12,15-Sep-17,Prophets of Rage,5.0,46,3.8333333333333335
Ringo Starr,55,14,15-Sep-17,Give More Love,5.5,2,0.14285714285714285
Lupe Fiasco,56,15,10-Feb-17,Drogas Light,6.5,212,14.133333333333333
Foster the People,56,12,21-Jul-17,Sacred Hearts Club,7.9,0,0.0
Miley Cyrus,58,11,29-Sep-17,Younger Now,7.0,8,0.7272727272727273
Shania Twain,58,16,29-Sep-17,Now,6.4,1,0.0625
Maroon 5,58,16,3-Nov-17,Red Pill Blues,4.6,3,0.1875
Morrissey,59,12,17-Nov-17,Low in High School,5.1,8,0.6666666666666666
Amanda Palmer,60,0,5-May-17,I Can Spin a Rainbow,6.4,0,0.0
Joan of Arc,60,11,20-Jan-17,He's Got the Whole This Land Is Your Land in His Hands,5.3,10,0.9090909090909091
Danzig,61,9,26-May-17,Black Laden Crown,3.2,2,0.2222222222222222
DJ Khaled,61,23,23-Jun-17,Grateful,3.7,134,5.826086956521739
Hype Williams,61,20,25-Aug-17,Rainbow Edition,tbd,0,0.0
Hurts,61,14,29-Sep-17,Desire,6.5,0,0.0
Horse Thief,62,0,27-Jan-17,Trials & Truths,tbd,0,0.0
Cut Copy,62,10,22-Sep-17,Haiku from Zero,6.7,0,0.0
P!nk,62,14,13-Oct-17,Beautiful Trauma,7.5,37,2.642857142857143
Ed Sheeran,62,17,3-Mar-17,Divide,4.5,5,0.29411764705882354
The Dears,62,10,14-Jul-17,"Times Infinity, Vol. 2",tbd,2,0.2
Macklemore,63,16,22-Sep-17,Gemini,6.3,78,4.875
TLC,63,13,30-Jun-17,TLC,6.2,15,1.1538461538461537
Yung Lean,63,14,10-Nov-17,Stranger,7.8,51,3.642857142857143
Lil Yachty,63,23,26-May-17,Teenage Emotions,3.9,309,13.434782608695652
U2,63,17,1-Dec-17,Songs of Experience,7.0,5,0.29411764705882354
Lunice,63,11,8-Sep-17,CCCLX,tbd,14,1.2727272727272727
Weezer,64,10,27-Oct-17,Pacific Daydream,5.3,2,0.2
The Amazons,64,11,26-May-17,The Amazons,7.4,0,0.0
Wu-Tang,64,18,13-Oct-17,The Saga Continues,8.2,134,7.444444444444445
Minus the Bear,64,10,3-Mar-17,Voids,8.0,1,0.1
Rag 'n' Bone Man,64,19,10-Feb-17,Human,6.1,0,0.0
Body Count,64,11,31-Mar-17,Bloodlust,6.9,109,9.909090909090908
Nelly Furtado,64,16,31-Mar-17,The Ride,8.5,2,0.125
Mike Oldfield,64,0,27-Jan-17,Return to Ommadawn,8.3,0,0.0
Fifth Harmony,64,12,25-Aug-17,Fifth Harmony,7.3,28,2.3333333333333335
Sleigh Bells,65,7,10-Nov-17,Kid Kruschev,7.0,12,1.7142857142857142
Alt-J,65,8,2-Jun-17,Relaxer,7.1,11,1.375
!!! [Chik Chik Chik],65,12,19-May-17,Shake the Shudder,7.0,3,0.25
Adult.,65,0,17-Mar-17,Detroit House Guests,tbd,0,0.0
Death from Above,65,0,8-Sep-17,Outrage! Is Now,7.6,0,0.0
Charles Hayward,65,0,17-Nov-17,Improvisations,tbd,0,0.0
Thievery Corporation,65,15,10-Feb-17,Temple of I & I,6.3,5,0.3333333333333333
Goldie,65,0,16-Jun-17,The Journey Man,tbd,0,0.0
Logic,65,13,5-May-17,Everybody,6.5,216,16.615384615384617
Sun Kil Moon,65,16,24-Feb-17,Common as Light and Love Are Red Valleys of Blood,8.2,118,7.375
Todd Rundgren,66,15,12-May-17,White Knight,tbd,11,0.7333333333333333
The Isley Brothers,66,0,28-Jul-17,Power of Peace,tbd,0,0.0
The Telescopes,66,0,7-Jul-17,As Light Return,tbd,0,0.0
Formation,66,10,24-Mar-17,Look at the Powerful People,tbd,79,7.9
The Bronx,66,11,22-Sep-17,BRVNX (V),tbd,5,0.45454545454545453
Kele Okereke,66,13,6-Oct-17,Fatherland,4.4,0,0.0
Arcade Fire,66,14,28-Jul-17,Everything Now,6.3,24,1.7142857142857142
Jake Bugg,66,11,1-Sep-17,Hearts That Strain,7.9,0,0.0
Halsey,66,17,2-Jun-17,Hopeless Fountain Kingdom,8.1,27,1.588235294117647
Alexandra Savior,66,11,7-Apr-17,Belladonna of Sadness,8.2,10,0.9090909090909091
Moon Diagrams,67,8,30-Jun-17,Lifetime of Love,tbd,0,0.0
Sundara Karma,67,15,6-Jan-17,Youth Is Only Ever Fun in Retrospect,7.1,5,0.3333333333333333
Menace Beach,67,0,27-Jan-17,Lemon Memory,tbd,0,0.0
Toothless,67,10,27-Jan-17,The Pace of the Passing,tbd,0,0.0
Maxïmo Park,67,0,21-Apr-17,Risk To Exist,7.3,0,0.0
Surfer Blood,67,9,3-Feb-17,Snowdonia,7.0,0,0.0
Little Dragon,67,10,14-Apr-17,Season High,7.5,2,0.2
You Me at Six,67,10,6-Jan-17,Night People,7.2,1,0.1
Future,67,20,17-Feb-17,Future,6.4,276,13.8
Big Sean,67,14,3-Feb-17,I Decided.,7.0,151,10.785714285714286
Sohn,67,10,13-Jan-17,Rennen,7.1,0,0.0
London Grammar,68,18,9-Jun-17,Truth Is a Beautiful Thing,8.4,12,0.6666666666666666
Neil Young,68,10,1-Dec-17,The Visitor,6.3,0,0.0
The Orwells,68,13,17-Feb-17,Terrible Human Beings,7.9,6,0.46153846153846156
Kendrick Lamar,95,14,14-Apr-17,DAMN.,8.4,161,11.5
Mount Eerie,93,11,24-Mar-17,A Crow Looked at Me,8.0,1,0.09090909090909091
Lorde,91,11,16-Jun-17,Melodrama,8.8,22,2.0
Converge,89,13,3-Nov-17,The Dusk in Us,7.6,3,0.23076923076923078
Creeper,89,11,24-Mar-17,"Eternity, In Your Arms",7.6,2,0.18181818181818182
Jlin,89,12,19-May-17,Black Origami,7.1,0,0.0
Vince Staples,89,12,23-Jun-17,Big Fish Theory,8.3,39,3.25
Valerie June,89,12,10-Mar-17,The Order of Time,7.9,0,0.0
St. Vincent,88,14,13-Oct-17,Masseduction,8.8,125,8.928571428571429
Brand New,88,12,19-Aug-17,Science Fiction,8.4,5,0.4166666666666667
Fever Ray,87,11,27-Oct-17,Plunge,7.7,14,1.2727272727272727
Rapsody,87,0,22-Sep-17,Laila’s Wisdom,8.2,0,0.0
Oxbow,87,0,5-May-17,The Thin Black Duke,7.8,0,0.0
Charly Bliss,87,10,21-Apr-17,Guppy,7.9,0,0.0
Arca,87,14,7-Apr-17,Arca,8.1,0,0.0
Circuit des Yeux,87,8,20-Oct-17,Reaching for Indigo,7.2,0,0.0
The Horrors,87,12,22-Sep-17,V,8.2,0,0.0
SZA,86,15,9-Jun-17,CTRL,8.8,61,4.066666666666666
Power Trip,86,8,24-Feb-17,Nightmare Logic,7.7,2,0.25
Vijay Iyer,86,1,25-Aug-17,Far from Over,tbd,0,0.0
The Replacements,86,4,6-Oct-17,For Sale: Live at Maxwell's 1986,7.7,0,0.0
Four Tet,86,14,29-Sep-17,New Energy,8.2,0,0.0
Gas,86,0,21-Apr-17,Narkopop,7.7,0,0.0
Sampha,86,10,3-Feb-17,Process,8.1,1,0.1
Magnetic Fields,86,0,10-Mar-17,50 Song Memoir,7.6,0,0.0
Paul Weller,86,10,12-May-17,A Kind Revolution,7.6,0,0.0
Tinariwen,86,2,10-Feb-17,Elwan,7.8,0,0.0
Rodney Crowell,86,10,31-Mar-17,Close Ties,7.9,8,0.8
Sharon Jones & the Dap-Kings,86,11,17-Nov-17,Soul of a Woman,8.2,0,0.0
LCD Soundsystem,86,11,1-Sep-17,American Dream,8.4,7,0.6363636363636364
PVRIS,86,10,25-Aug-17,"All We Know of Heaven, All We Need of Hell",8.3,4,0.4
Algiers,86,12,23-Jun-17,The Underside of Power,7.9,12,1.0
Bedouine,85,10,23-Jun-17,Bedouine,6.8,0,0.0
Protomartyr,85,12,29-Sep-17,Relatives in Descent,7.9,0,0.0
The National,85,12,8-Sep-17,Sleep Well Beast,8.4,5,0.4166666666666667
The xx,85,13,13-Jan-17,I See You,8.1,0,0.0
Moses Sumney,85,13,22-Sep-17,Aromanticism,8.2,0,0.0
The Moonlandingz,85,11,24-Mar-17,Interplanetary Class Classics,7.0,0,0.0
Laura Marling,85,9,10-Mar-17,Semper Femina,8.0,4,0.4444444444444444
The Weather Station,85,11,6-Oct-17,The Weather Station,6.7,1,0.09090909090909091
Father John Misty,85,14,7-Apr-17,Pure Comedy,7.9,16,1.1428571428571428
Ryuichi Sakamoto,85,14,28-Apr-17,async,7.7,0,0.0
Pwr Bttm,85,13,12-May-17,Pageant,5.5,19,1.4615384615384615
Young Thug,84,14,16-Jun-17,Beautiful Thugger Girls,7.7,146,10.428571428571429
Aimee Mann,84,13,31-Mar-17,Mental Illness,7.8,1,0.07692307692307693
Godflesh,84,10,17-Nov-17,Post Self,tbd,0,0.0
Karine Polwart,84,0,17-Nov-17,A Pocket of Wind Resistance,tbd,0,0.0
"Tyler, The Creator",84,14,21-Jul-17,Flower Boy,8.7,115,8.214285714285714
Seamus Fogarty,84,1,6-Oct-17,The Curious Hand,tbd,0,0.0
Alan Vega,84,9,14-Jul-17,It,tbd,12,1.3333333333333333
Laurel Halo,84,12,23-Jun-17,Dust,7.7,1,0.08333333333333333
Perfume Genius,84,13,5-May-17,No Shape,8.4,0,0.0
Juana Molina,84,13,5-May-17,Halo,7.9,0,0.0
Loyle Carner,84,15,20-Jan-17,Yesterday's Gone,8.4,23,1.5333333333333334
Robert Plant,84,11,13-Oct-17,Carry Fire,8.1,0,0.0
J Hus,84,18,12-May-17,Common Sense,8.2,50,2.7777777777777777
Juliana Hatfield,84,14,28-Apr-17,Pussycat,7.0,14,1.0
Nadia Reid,84,10,3-Mar-17,Preservation,8.0,4,0.4
William Basinski,84,2,20-Jan-17,A Shadow in Time,7.5,0,0.0
Kelela,84,14,6-Oct-17,Take Me Apart,8.3,9,0.6428571428571429
Wiley,84,17,13-Jan-17,Godfather,8.1,25,1.4705882352941178
Vagabon,84,8,24-Feb-17,Infinite Worlds,7.9,1,0.125
Songhoy Blues,84,12,16-Jun-17,Resistance,7.0,0,0.0
Jane Weaver,84,10,19-May-17,Modern Kosmology,7.5,0,0.0
Pumarosa,84,10,19-May-17,The Witch,8.3,4,0.4
Jim Jones & The Righteous Mind,84,0,12-May-17,Super Natural,tbd,0,0.0
Saltland,84,0,31-Mar-17,A Common Truth,tbd,0,0.0
Ibibio Sound Machine,84,1,3-Mar-17,Uyai,7.7,0,0.0
Jesca Hoop,83,9,10-Feb-17,Memories Are Now,8.0,2,0.2222222222222222
Japanese Breakfast,83,12,14-Jul-17,Soft Sounds From Another Planet,8.2,0,0.0
Sheer Mag,83,12,14-Jul-17,Need to Feel Your Love,7.9,0,0.0
Julien Baker,83,11,27-Oct-17,Turn Out the Lights,7.9,2,0.18181818181818182
Sleater-Kinney,83,13,27-Jan-17,Live in Paris,7.7,2,0.15384615384615385
Hurray for the Riff Raff,83,12,10-Mar-17,The Navigator,7.1,5,0.4166666666666667
Mark Lanegan Band,83,0,28-Apr-17,Gargoyle,7.6,0,0.0
Charlie Puth,37,13,29-Jan-16,Nine Track Mind,4.6,1,0.07692307692307693
Various Artists,48,15,18-Mar-16,Star Wars Headspace,4.2,0,0.0
Richard Ashcroft,51,10,20-May-16,These People,7.5,0,0.0
